Group,Home Team,Away_Team
Group A,Mexico,South Africa
Group A,South Korea,Czechia
Group A,Czechia,South Africa
Group A,Mexico,South Korea
Group A,Czechia,Mexico
Group A,South Africa,South Korea
Group B,Canada,Bosnia-Herzegovina
Group B,Qatar,Switzerland
Group B,Switzerland,Bosnia-Herzegovina
Group B,Canada,Qatar
Group B,Switzerland,Canada
Group B,Bosnia-Herzegovina,Qatar
Group C,Brazil,Morocco
Group C,Haiti,Scotland
Group C,Scotland,Morocco
Group C,Brazil,Haiti
Group C,Scotland,Brazil
Group C,Morocco,Haiti
Group D,USA,Paraguay
Group D,Australia,Türkiye
Group D,USA,Australia
Group D,Türkiye,Paraguay
Group D,Türkiye,USA
Group D,Paraguay,Australia
Group E,Germany,Curacao
Group E,Côte d'Ivoire,Ecuador
Group E,Germany,Côte d'Ivoire
Group E,Ecuador,Curacao
Group E,Curacao,Côte d'Ivoire
Group E,Ecuador,Germany
Group F,Netherlands,Japan
Group F,Sweden,Tunisia
Group F,Netherlands,Sweden
Group F,Tunisia,Japan
Group F,Japan,Sweden
Group F,Tunisia,Netherlands
Group G,Belgium,Egypt
Group G,IR Iran,New Zealand
Group G,Belgium,IR Iran
Group G,New Zealand,Egypt
Group G,Egypt,IR Iran
Group G,New Zealand,Belgium
Group H,Spain,Cabo Verde
Group H,Saudi Arabia,Uruguay
Group H,Spain,Saudi Arabia
Group H,Uruguay,Cabo Verde
Group H,Cabo Verde,Saudi Arabia
Group H,Uruguay,Spain
Group I,France,Senegal
Group I,Iraq,Norway
Group I,France,Iraq
Group I,Norway,Senegal
Group I,Norway,France
Group I,Senegal,Iraq
Group J,Argentina,Algeria
Group J,Austria,Jordan
Group J,Argentina,Austria
Group J,Jordan,Algeria
Group J,Algeria,Austria
Group J,Jordan,Argentina
Group K,Portugal,Congo DR
Group K,Uzbekistan,Colombia
Group K,Portugal,Uzbekistan
Group K,Colombia,Congo DR
Group K,Colombia,Portugal
Group K,Congo DR,Uzbekistan
Group L,England,Croatia
Group L,Ghana,Panama
Group L,England,Ghana
Group L,Panama,Croatia
Group L,Panama,England
Group L,Croatia,Ghana
